"","Bundesliga","Ligue 1","Premier League","Primera Division","Serie A"
"A",24.6565656565657,25.0147058823529,26.2333333333333,25.2556390977444,25.0925925925926
"D",25.8713450292398,26.0051020408163,26.7916666666667,26.4129353233831,26.8155737704918
"G",26.359375,26.2394366197183,28.703125,26.8955223880597,27.4831460674157
"M",24.9672897196262,25.1217391304348,25.7850877192982,25.953488372093,25.9195402298851
"all",25.3558394160584,25.4976303317536,26.4905362776025,26.0551948051948,26.2156084656085
