"","A","D","M"
"Bundesliga",1.66605702264418,3.87844608108083,4.45549689627498
"Ligue 1",2.06114710413518,4.07005813654068,3.86879475932414
"Premier League",1.857188742239,3.97403029847624,4.16878095928477
"Primera Division",2.04674990021366,3.99102803409171,3.96222206569463
"Serie A",1.95227265720087,4.08587926632497,3.96184807647416
