"","Goal","YC","X2YC","RC"
"Bundesliga",3.09150326797386,3.61111111111111,0.0947712418300654,0.0947712418300654
"Ligue 1",2.38157894736842,3.29736842105263,0.1,0.134210526315789
"Premier League",2.62631578947368,3.22631578947368,0.0394736842105263,0.1
"Primera Division",2.68157894736842,5.11842105263158,0.184210526315789,0.118421052631579
"Serie A",2.65263157894737,4.73421052631579,0.155263157894737,0.123684210526316
