"","A","D","G","M","all"
"Bundesliga",0.403058438012015,0.046874780054523,0,0.156230854062002,0.14082526849262
"Ligue 1",0.321894386658766,0.0367673641740539,0,0.0996097761347299,0.108888045175504
"Premier League",0.346291154303848,0.0347022686237362,0.00132189648081781,0.12977970672331,0.120273487609769
"Primera Division",0.388451142482273,0.036731857440683,0,0.101996977867322,0.12230625507609
"Serie A",0.362103584938296,0.0388074610937236,0,0.117732509662811,0.121038755883828
